"106年07月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"106/07/03","10,368.99","10,412.79","10,363.50","10,412.79",
"106/07/04","10,397.93","10,421.72","10,347.78","10,347.78",
"106/07/05","10,352.39","10,404.79","10,304.74","10,404.79",
"106/07/06","10,380.66","10,381.20","10,336.32","10,368.20",
"106/07/07","10,343.30","10,343.30","10,294.69","10,297.25",
"106/07/10","10,310.74","10,331.11","10,283.95","10,289.91",
"106/07/11","10,313.08","10,415.57","10,313.08","10,415.57",
"106/07/12","10,396.97","10,450.87","10,393.54","10,420.68",
"106/07/13","10,418.74","10,485.28","10,418.74","10,460.15",
"106/07/14","10,450.92","10,466.34","10,423.40","10,443.91",
"106/07/17","10,467.27","10,490.05","10,436.31","10,457.54",
"106/07/18","10,447.47","10,481.26","10,429.85","10,481.26",
"106/07/19","10,472.81","10,537.42","10,472.81","10,506.10",
"106/07/20","10,513.12","10,534.52","10,483.54","10,499.36",
"106/07/21","10,468.47","10,477.72","10,428.56","10,436.70",
"106/07/24","10,426.13","10,461.28","10,406.81","10,461.28",
"106/07/25","10,455.14","10,473.98","10,442.85","10,463.15",
"106/07/26","10,477.15","10,500.11","10,416.57","10,419.11",
"106/07/27","10,427.83","10,516.23","10,427.83","10,508.37",
"106/07/28","10,480.67","10,480.67","10,410.53","10,423.05",
"106/07/31","10,396.76","10,427.33","10,366.17","10,427.33",
