"109年04月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"109/04/01","9,726.20","9,736.00","9,663.63","9,663.63",
"109/04/06","9,707.75","9,818.74","9,651.52","9,818.74",
"109/04/07","9,928.16","10,039.15","9,928.16","9,996.39",
"109/04/08","10,010.64","10,149.76","9,984.66","10,137.47",
"109/04/09","10,173.26","10,246.84","10,092.36","10,119.43",
"109/04/10","10,105.43","10,165.12","10,103.77","10,157.61",
"109/04/13","10,147.56","10,179.40","10,080.65","10,099.22",
"109/04/14","10,130.65","10,344.13","10,130.65","10,332.94",
"109/04/15","10,366.77","10,461.84","10,366.77","10,447.21",
"109/04/16","10,385.78","10,425.29","10,317.13","10,375.48",
"109/04/17","10,554.55","10,710.15","10,552.58","10,597.04",
"109/04/20","10,612.45","10,637.64","10,542.96","10,586.71",
"109/04/21","10,544.80","10,544.80","10,278.95","10,288.42",
"109/04/22","10,256.11","10,310.85","10,140.09","10,307.74",
"109/04/23","10,370.13","10,462.70","10,294.88","10,366.51",
"109/04/24","10,367.97","10,386.93","10,324.20","10,347.36",
"109/04/27","10,407.49","10,578.96","10,407.49","10,567.27",
"109/04/28","10,580.25","10,620.52","10,537.71","10,616.06",
"109/04/29","10,656.40","10,794.83","10,656.40","10,772.22",
"109/04/30","10,826.26","11,012.78","10,826.26","10,992.14",
