"108年08月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"108/08/01","10,773.06","10,773.25","10,714.73","10,731.75",
"108/08/02","10,641.28","10,641.28","10,524.68","10,549.04",
"108/08/05","10,528.87","10,542.49","10,418.25","10,423.41",
"108/08/06","10,304.88","10,425.60","10,180.04","10,394.75",
"108/08/07","10,422.89","10,461.37","10,366.54","10,386.18",
"108/08/08","10,383.62","10,500.77","10,383.62","10,494.49",
"108/08/12","10,491.79","10,514.05","10,440.77","10,472.36",
"108/08/13","10,436.62","10,436.62","10,361.89","10,362.66",
"108/08/14","10,444.50","10,518.02","10,427.73","10,427.73",
"108/08/15","10,374.75","10,374.75","10,287.76","10,327.13",
"108/08/16","10,345.42","10,456.32","10,318.37","10,420.89",
"108/08/19","10,449.39","10,516.05","10,449.39","10,488.75",
"108/08/20","10,508.42","10,538.12","10,497.13","10,522.50",
"108/08/21","10,526.87","10,545.25","10,504.49","10,525.80",
"108/08/22","10,560.01","10,596.41","10,515.72","10,529.78",
"108/08/23","10,526.15","10,541.73","10,503.07","10,538.11",
"108/08/26","10,453.40","10,453.40","10,340.15","10,354.57",
"108/08/27","10,386.21","10,431.78","10,368.96","10,387.23",
"108/08/28","10,397.60","10,456.30","10,397.60","10,434.29",
"108/08/29","10,440.15","10,466.99","10,406.49","10,462.43",
"108/08/30","10,504.28","10,618.05","10,504.28","10,618.05",
