"104年09月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"104/09/01","8,117.50","8,119.90","8,002.18","8,017.56",
"104/09/02","7,970.40","8,068.06","7,907.31","8,035.29",
"104/09/03","8,071.37","8,101.13","8,007.48","8,095.95",
"104/09/04","8,087.62","8,128.23","7,990.86","8,000.60",
"104/09/07","7,990.76","8,053.20","7,957.80","7,986.56",
"104/09/08","7,993.10","8,031.26","7,978.78","8,001.50",
"104/09/09","8,097.22","8,296.13","8,097.22","8,286.92",
"104/09/10","8,247.64","8,274.82","8,214.50","8,268.68",
"104/09/11","8,271.25","8,313.18","8,233.14","8,305.82",
"104/09/14","8,332.57","8,360.03","8,259.31","8,307.29",
"104/09/15","8,320.22","8,327.95","8,226.07","8,259.99",
"104/09/16","8,298.13","8,342.36","8,276.94","8,333.29",
"104/09/17","8,377.31","8,467.15","8,377.31","8,445.50",
"104/09/18","8,427.52","8,488.53","8,399.71","8,462.14",
"104/09/21","8,404.50","8,404.50","8,285.43","8,307.04",
"104/09/22","8,331.44","8,365.92","8,325.78","8,365.92",
"104/09/23","8,310.82","8,310.82","8,186.22","8,193.42",
"104/09/24","8,224.23","8,257.14","8,101.90","8,123.10",
"104/09/25","8,131.49","8,152.50","8,061.87","8,132.35",
"104/09/30","8,097.15","8,181.24","8,059.68","8,181.24",
