"107年12月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"107/12/03","9,979.21","10,148.75","9,979.21","10,137.87",
"107/12/04","10,120.43","10,126.02","10,061.70","10,083.54",
"107/12/05","9,971.98","9,971.98","9,895.29","9,916.74",
"107/12/06","9,850.08","9,850.08","9,664.75","9,684.72",
"107/12/07","9,719.46","9,785.20","9,719.46","9,760.88",
"107/12/10","9,722.97","9,722.97","9,626.47","9,647.54",
"107/12/11","9,661.72","9,720.96","9,661.72","9,707.04",
"107/12/12","9,741.45","9,835.56","9,741.45","9,816.45",
"107/12/13","9,827.32","9,871.96","9,815.50","9,858.76",
"107/12/14","9,818.95","9,818.95","9,718.94","9,774.16",
"107/12/17","9,762.49","9,826.88","9,733.98","9,787.53",
"107/12/18","9,756.46","9,756.67","9,701.10","9,718.82",
"107/12/19","9,720.92","9,783.21","9,720.92","9,783.21",
"107/12/20","9,729.29","9,741.55","9,658.50","9,674.52",
"107/12/21","9,648.98","9,683.95","9,585.32","9,676.67",
"107/12/22","9,639.24","9,652.19","9,625.31","9,646.16",
"107/12/24","9,646.53","9,658.95","9,613.29","9,639.70",
"107/12/25","9,559.70","9,559.70","9,479.06","9,527.09",
"107/12/26","9,544.87","9,591.91","9,473.30","9,478.99",
"107/12/27","9,555.01","9,670.97","9,555.01","9,641.56",
"107/12/28","9,649.97","9,727.41","9,630.77","9,727.41",
