"107年04月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"107/04/02","10,936.26","10,969.88","10,882.05","10,888.27",
"107/04/03","10,837.54","10,837.54","10,775.45","10,821.53",
"107/04/09","10,880.14","10,904.75","10,829.02","10,893.53",
"107/04/10","10,885.64","10,975.67","10,874.83","10,927.18",
"107/04/11","10,961.70","11,016.35","10,953.31","10,974.02",
"107/04/12","10,984.12","11,008.20","10,920.62","10,955.29",
"107/04/13","10,975.58","10,988.23","10,938.37","10,965.39",
"107/04/16","10,962.36","10,974.94","10,921.17","10,954.55",
"107/04/17","10,953.51","10,965.20","10,799.07","10,810.45",
"107/04/18","10,842.88","10,917.60","10,809.89","10,847.89",
"107/04/19","10,891.66","10,983.96","10,889.71","10,971.22",
"107/04/20","10,802.42","10,831.56","10,770.05","10,779.38",
"107/04/23","10,756.89","10,774.73","10,687.25","10,697.13",
"107/04/24","10,680.38","10,692.19","10,540.15","10,579.50",
"107/04/25","10,541.83","10,573.73","10,489.20","10,559.97",
"107/04/26","10,583.08","10,618.68","10,478.98","10,488.58",
"107/04/27","10,546.29","10,573.61","10,495.67","10,553.43",
"107/04/30","10,553.41","10,660.61","10,539.63","10,657.88",
