"109年05月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"109/05/04","10,781.51","10,781.51","10,658.50","10,720.48",
"109/05/05","10,756.95","10,833.53","10,735.01","10,774.61",
"109/05/06","10,771.09","10,828.73","10,708.10","10,774.98",
"109/05/07","10,778.53","10,890.87","10,775.16","10,842.92",
"109/05/08","10,883.22","10,970.70","10,883.22","10,901.42",
"109/05/11","10,942.18","11,039.11","10,942.18","11,013.26",
"109/05/12","10,974.51","10,974.51","10,854.51","10,879.47",
"109/05/13","10,861.01","10,938.27","10,828.93","10,938.27",
"109/05/14","10,894.17","10,894.17","10,777.46","10,780.88",
"109/05/15","10,833.16","10,904.01","10,730.55","10,814.92",
"109/05/18","10,753.21","10,812.87","10,730.70","10,740.55",
"109/05/19","10,812.79","10,924.79","10,812.79","10,860.44",
"109/05/20","10,892.76","10,933.98","10,860.15","10,907.80",
"109/05/21","10,933.21","11,021.66","10,933.21","11,008.31",
"109/05/22","10,977.55","10,977.55","10,804.56","10,811.15",
"109/05/25","10,812.94","10,874.54","10,719.25","10,871.18",
"109/05/26","10,903.32","11,046.22","10,903.32","10,997.21",
"109/05/27","11,023.93","11,069.72","10,972.25","11,014.66",
"109/05/28","11,040.62","11,087.53","10,915.30","10,944.19",
"109/05/29","10,921.16","10,965.03","10,861.90","10,942.16",
