"106年08月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"106/08/01","10,408.53","10,470.03","10,408.53","10,437.29",
"106/08/02","10,479.26","10,519.27","10,479.26","10,519.27",
"106/08/03","10,464.10","10,478.62","10,427.72","10,469.88",
"106/08/04","10,470.96","10,510.70","10,466.25","10,506.56",
"106/08/07","10,521.69","10,592.31","10,521.69","10,579.38",
"106/08/08","10,598.59","10,619.42","10,533.72","10,568.97",
"106/08/09","10,523.51","10,536.19","10,457.52","10,470.38",
"106/08/10","10,470.03","10,477.79","10,303.47","10,329.74",
"106/08/11","10,267.05","10,338.06","10,238.50","10,329.57",
"106/08/14","10,347.66","10,365.22","10,225.28","10,225.28",
"106/08/15","10,271.03","10,336.22","10,271.03","10,311.16",
"106/08/16","10,302.83","10,322.38","10,245.72","10,290.39",
"106/08/17","10,302.54","10,372.41","10,302.54","10,369.37",
"106/08/18","10,324.83","10,330.39","10,259.83","10,321.33",
"106/08/21","10,316.09","10,336.37","10,282.72","10,326.39",
"106/08/22","10,353.37","10,410.47","10,353.37","10,392.07",
"106/08/23","10,418.32","10,458.91","10,378.01","10,406.81",
"106/08/24","10,414.66","10,488.96","10,410.73","10,488.96",
"106/08/25","10,497.86","10,519.84","10,478.72","10,515.51",
"106/08/28","10,502.80","10,542.37","10,498.88","10,525.98",
"106/08/29","10,518.69","10,518.69","10,463.22","10,496.57",
"106/08/30","10,511.59","10,574.53","10,511.59","10,569.40",
"106/08/31","10,586.65","10,609.48","10,551.95","10,585.78",
