"106年02月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"106/02/02","9,502.25","9,521.34","9,413.77","9,428.97",
"106/02/03","9,450.06","9,478.01","9,423.93","9,455.56",
"106/02/06","9,467.67","9,548.68","9,467.67","9,538.01",
"106/02/07","9,527.42","9,555.80","9,512.56","9,554.56",
"106/02/08","9,540.77","9,564.07","9,505.79","9,543.25",
"106/02/09","9,555.52","9,600.09","9,540.51","9,590.18",
"106/02/10","9,612.67","9,688.15","9,612.67","9,665.59",
"106/02/13","9,690.39","9,711.43","9,681.10","9,710.32",
"106/02/14","9,726.74","9,760.01","9,698.29","9,718.78",
"106/02/15","9,724.13","9,813.98","9,723.04","9,799.76",
"106/02/16","9,826.89","9,869.59","9,753.16","9,771.25",
"106/02/17","9,779.16","9,791.59","9,754.54","9,759.76",
"106/02/18","9,771.21","9,791.35","9,770.75","9,779.92",
"106/02/20","9,795.81","9,817.14","9,743.36","9,753.20",
"106/02/21","9,761.27","9,775.49","9,721.36","9,763.93",
"106/02/22","9,786.25","9,820.07","9,770.10","9,778.78",
"106/02/23","9,774.08","9,810.56","9,748.94","9,769.31",
"106/02/24","9,757.67","9,784.39","9,740.18","9,750.47",
