"107年08月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"107/08/01","11,062.36","11,100.02","11,058.28","11,098.13",
"107/08/02","11,095.67","11,095.67","10,919.13","10,929.77",
"107/08/03","10,957.30","11,012.43","10,957.30","11,012.43",
"107/08/06","10,997.26","11,054.49","10,994.97","11,024.10",
"107/08/07","11,024.97","11,030.09","10,983.44","10,983.44",
"107/08/08","11,026.07","11,095.50","11,026.07","11,075.25",
"107/08/09","11,063.62","11,063.62","11,001.96","11,028.07",
"107/08/10","11,009.96","11,033.89","10,972.25","10,983.68",
"107/08/13","10,939.68","10,939.68","10,693.73","10,748.92",
"107/08/14","10,797.95","10,829.85","10,755.53","10,824.23",
"107/08/15","10,827.28","10,827.28","10,688.59","10,716.75",
"107/08/16","10,663.57","10,725.71","10,606.26","10,683.90",
"107/08/17","10,702.60","10,757.01","10,688.55","10,690.96",
"107/08/20","10,698.76","10,729.90","10,663.44","10,699.05",
"107/08/21","10,697.01","10,792.20","10,697.01","10,792.20",
"107/08/22","10,790.24","10,828.21","10,774.69","10,804.20",
"107/08/23","10,817.33","10,863.13","10,802.79","10,863.13",
"107/08/24","10,865.91","10,865.91","10,770.32","10,809.35",
"107/08/27","10,847.17","10,916.69","10,847.17","10,902.21",
"107/08/28","10,946.33","11,005.55","10,946.33","10,989.55",
"107/08/29","11,029.12","11,099.57","11,029.11","11,099.57",
"107/08/30","11,153.97","11,186.05","11,080.07","11,093.75",
"107/08/31","11,037.26","11,063.94","10,987.68","11,063.94",
