"105年09月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"105/09/01","9,055.73","9,069.13","8,980.21","9,001.15",
"105/09/02","9,015.63","9,038.48","8,958.81","8,987.55",
"105/09/05","9,032.38","9,100.05","9,032.38","9,090.13",
"105/09/06","9,102.83","9,181.85","9,098.60","9,181.85",
"105/09/07","9,202.23","9,278.88","9,202.23","9,259.07",
"105/09/08","9,241.95","9,273.57","9,224.89","9,262.89",
"105/09/09","9,217.37","9,217.37","9,142.13","9,164.88",
"105/09/10","9,084.81","9,084.81","9,025.53","9,053.69",
"105/09/12","9,031.51","9,031.51","8,947.06","8,947.06",
"105/09/13","8,983.95","9,014.75","8,885.55","8,940.83",
"105/09/14","8,913.11","8,965.32","8,895.85","8,902.30",
"105/09/19","9,003.41","9,155.38","9,003.41","9,152.88",
"105/09/20","9,141.21","9,173.46","9,130.90","9,161.58",
"105/09/21","9,141.92","9,228.50","9,133.16","9,228.50",
"105/09/22","9,265.28","9,290.76","9,207.41","9,235.26",
"105/09/23","9,240.25","9,284.62","9,228.66","9,284.62",
"105/09/26","9,229.34","9,229.34","9,189.49","9,194.52",
"105/09/29","9,241.61","9,303.13","9,238.49","9,270.90",
"105/09/30","9,240.44","9,240.65","9,160.91","9,166.85",
