"105年08月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"105/08/01","9,008.74","9,080.71","9,008.74","9,080.71",
"105/08/02","9,081.06","9,086.42","9,052.71","9,068.76",
"105/08/03","9,000.82","9,033.95","8,948.40","9,001.71",
"105/08/04","9,009.29","9,035.25","8,972.31","9,024.71",
"105/08/05","9,025.76","9,101.71","9,023.23","9,092.12",
"105/08/08","9,123.07","9,153.99","9,104.43","9,150.26",
"105/08/09","9,154.00","9,168.34","9,127.63","9,155.08",
"105/08/10","9,160.94","9,200.42","9,131.63","9,200.42",
"105/08/11","9,168.70","9,187.18","9,063.81","9,131.83",
"105/08/12","9,135.34","9,173.72","9,135.34","9,150.39",
"105/08/15","9,152.36","9,162.02","9,117.26","9,148.51",
"105/08/16","9,146.09","9,165.58","9,082.34","9,110.36",
"105/08/17","9,121.18","9,133.07","9,073.27","9,117.70",
"105/08/18","9,104.88","9,128.80","9,093.51","9,122.50",
"105/08/19","9,139.69","9,175.13","9,034.27","9,034.27",
"105/08/22","9,004.68","9,012.72","8,928.33","8,981.81",
"105/08/23","8,987.07","9,046.30","8,986.76","9,030.93",
"105/08/24","9,043.13","9,054.76","9,016.39","9,017.38",
"105/08/25","9,034.47","9,115.47","9,031.34","9,115.47",
"105/08/26","9,097.02","9,131.72","9,092.08","9,131.72",
"105/08/29","9,117.53","9,136.42","9,027.35","9,110.17",
"105/08/30","9,113.34","9,134.37","9,093.87","9,110.56",
"105/08/31","9,122.19","9,130.76","9,044.50","9,068.85",
