"108年02月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"108/02/11","10,029.84","10,065.52","9,988.83","10,004.25",
"108/02/12","10,032.08","10,100.23","10,032.08","10,097.74",
"108/02/13","10,123.61","10,140.98","10,074.34","10,090.58",
"108/02/14","10,095.99","10,135.62","10,082.00","10,089.01",
"108/02/15","10,111.18","10,135.16","10,055.50","10,064.78",
"108/02/18","10,096.94","10,165.77","10,096.94","10,145.28",
"108/02/19","10,152.11","10,173.47","10,143.15","10,152.26",
"108/02/20","10,181.94","10,272.46","10,181.94","10,272.46",
"108/02/21","10,282.32","10,319.53","10,256.53","10,319.53",
"108/02/22","10,309.02","10,322.92","10,269.95","10,322.92",
"108/02/25","10,343.45","10,390.93","10,343.45","10,390.93",
"108/02/26","10,403.03","10,416.91","10,368.86","10,391.55",
"108/02/27","10,385.81","10,403.05","10,343.56","10,389.17",
