"106年01月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"106/01/03","9,252.56","9,273.65","9,235.95","9,272.88",
"106/01/04","9,279.52","9,299.62","9,266.03","9,286.96",
"106/01/05","9,282.56","9,358.42","9,282.45","9,358.14",
"106/01/06","9,371.41","9,381.11","9,351.25","9,372.22",
"106/01/09","9,376.48","9,404.90","9,328.19","9,342.42",
"106/01/10","9,344.19","9,353.60","9,319.45","9,349.64",
"106/01/11","9,370.17","9,384.00","9,333.49","9,345.74",
"106/01/12","9,356.12","9,430.58","9,356.12","9,410.18",
"106/01/13","9,373.70","9,387.68","9,352.08","9,378.83",
"106/01/16","9,356.54","9,359.01","9,281.21","9,292.33",
"106/01/17","9,301.96","9,354.53","9,294.68","9,354.53",
"106/01/18","9,344.74","9,350.95","9,322.44","9,341.97",
"106/01/19","9,324.83","9,337.64","9,287.54","9,318.12",
"106/01/20","9,326.80","9,350.07","9,317.62","9,331.46",
"106/01/23","9,363.66","9,427.46","9,363.66","9,424.05",
"106/01/24","9,423.05","9,468.34","9,416.06","9,447.95",
