"105年05月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"105/05/03","8,362.35","8,363.59","8,268.41","8,294.12",
"105/05/04","8,282.52","8,285.96","8,153.57","8,185.47",
"105/05/05","8,182.05","8,207.98","8,122.34","8,167.96",
"105/05/06","8,169.54","8,170.68","8,104.16","8,146.43",
"105/05/09","8,156.65","8,177.36","8,106.13","8,131.83",
"105/05/10","8,119.71","8,168.13","8,075.58","8,156.29",
"105/05/11","8,182.92","8,204.51","8,115.44","8,135.56",
"105/05/12","8,122.78","8,162.44","8,105.49","8,108.05",
"105/05/13","8,095.93","8,095.93","7,999.98","8,053.69",
"105/05/16","8,035.21","8,091.48","8,003.93","8,067.60",
"105/05/17","8,081.89","8,151.20","8,047.31","8,140.48",
"105/05/18","8,115.61","8,159.68","8,061.26","8,159.68",
"105/05/19","8,159.93","8,166.96","8,067.33","8,095.98",
"105/05/20","8,108.68","8,165.98","8,080.65","8,131.26",
"105/05/23","8,150.38","8,356.96","8,119.71","8,344.44",
"105/05/24","8,329.69","8,354.62","8,298.00","8,300.66",
"105/05/25","8,352.84","8,417.27","8,352.84","8,396.20",
"105/05/26","8,400.89","8,410.74","8,376.60","8,394.12",
"105/05/27","8,415.59","8,463.61","8,415.59","8,463.61",
"105/05/30","8,476.62","8,563.40","8,462.15","8,535.87",
"105/05/31","8,532.21","8,545.73","8,488.90","8,535.59",
