"106年04月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"106/04/05","9,856.44","9,949.48","9,856.44","9,949.48",
"106/04/06","9,946.66","9,946.66","9,879.85","9,897.80",
"106/04/07","9,892.98","9,900.88","9,788.52","9,873.37",
"106/04/10","9,880.29","9,898.64","9,859.03","9,882.54",
"106/04/11","9,881.53","9,896.59","9,820.41","9,832.42",
"106/04/12","9,831.56","9,837.19","9,789.59","9,817.68",
"106/04/13","9,808.83","9,868.45","9,800.80","9,836.68",
"106/04/14","9,806.15","9,808.33","9,730.94","9,732.93",
"106/04/17","9,740.81","9,762.47","9,670.11","9,716.40",
"106/04/18","9,735.76","9,771.07","9,727.26","9,746.56",
"106/04/19","9,725.39","9,725.39","9,631.64","9,639.94",
"106/04/20","9,639.93","9,664.24","9,622.25","9,632.69",
"106/04/21","9,657.05","9,718.82","9,657.05","9,717.41",
"106/04/24","9,742.91","9,772.96","9,683.70","9,717.95",
"106/04/25","9,737.82","9,841.71","9,737.82","9,841.71",
"106/04/26","9,859.11","9,865.88","9,827.47","9,856.45",
"106/04/27","9,859.45","9,863.52","9,823.85","9,860.62",
"106/04/28","9,868.38","9,897.04","9,845.84","9,872.00",
