"105年04月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"105/04/01","8,700.38","8,704.53","8,628.94","8,657.55",
"105/04/06","8,605.16","8,605.16","8,496.89","8,513.30",
"105/04/07","8,523.25","8,529.44","8,436.54","8,490.25",
"105/04/08","8,464.78","8,546.31","8,452.05","8,541.50",
"105/04/11","8,518.96","8,568.44","8,476.57","8,562.59",
"105/04/12","8,561.21","8,613.56","8,520.14","8,531.18",
"105/04/13","8,562.79","8,653.08","8,561.90","8,652.08",
"105/04/14","8,684.93","8,719.15","8,653.84","8,667.71",
"105/04/15","8,634.23","8,700.39","8,613.25","8,700.39",
"105/04/18","8,681.80","8,686.98","8,650.13","8,666.01",
"105/04/19","8,701.75","8,743.35","8,627.29","8,633.72",
"105/04/20","8,649.09","8,695.22","8,502.55","8,514.48",
"105/04/21","8,549.14","8,568.65","8,508.92","8,568.65",
"105/04/22","8,560.21","8,580.33","8,501.03","8,535.75",
"105/04/25","8,541.14","8,560.28","8,513.73","8,560.28",
"105/04/26","8,556.37","8,622.42","8,554.55","8,581.57",
"105/04/27","8,561.37","8,597.64","8,537.03","8,563.05",
"105/04/28","8,586.92","8,595.99","8,456.38","8,473.87",
"105/04/29","8,424.04","8,424.04","8,352.23","8,377.90",
