# DIF5-8 > 0
1319	東陽
1473	台南
1522	堤維西
1528	恩德
1568	倉佑
2108	南帝
2207	和泰車
2228	劍麟
2328	廣宇
2349	錸德
2355	敬鵬
2427	三商電
2455	全新
2468	華經
2497	怡利電
2538	基泰
2548	華固
2706	第一店
2739	寒舍
3057	喬鼎
3231	緯創
3494	誠研
3622	洋華
3669	圓展
4133	亞諾法
4526	東台
4540	全球傳動
4545	銘鈺
4552	力達-KY
4720	德淵
5243	乙盛-KY
5522	遠雄
6166	凌華
6196	帆宣
6243	迅杰
6416	瑞祺電通
6451	訊芯-KY
6598	ABC-KY
8341	日友
# DIF12-26 > 0
0055	元大MSCI金融
1303	南亞
1309	台達化
1310	台苯
1337	再生-KY
1455	集盛
1471	首利
1537	廣隆
1560	中砂
1609	大亞
1712	興農
1802	台玻
1905	華紙
1907	永豐餘
2020	美亞
2031	新光鋼
2241	艾姆勒
2312	金寶
2314	台揚
2413	環科
2450	神腦
2451	創見
2478	大毅
2488	漢平
2612	中航
2704	國賓
2832	台產
2897	王道銀行
3027	盛達
3029	零壹
3031	佰鴻
3032	偉訓
3037	欣興
3038	全台
3052	夆典
3090	日電貿
3706	神達
3708	上緯投控
4142	國光生
4438	廣越
4766	南寶
4906	正文
4942	嘉彰
4956	光鋐
5519	隆大
5525	順天
5608	四維航
6108	競國
6141	柏承
6191	精成科
6192	巨路
6197	佳必琪
6230	超眾
6243	迅杰
6449	鈺邦
6605	帝寶
8411	福貞-KY
8462	柏文
9911	櫻花
9945	潤泰新
9958	世紀鋼
