# DIF5-8 > 0
1340,勝悅-KY
1437,勤益控
1582,信錦
1714,和桐
1737,臺鹽
2241,艾姆勒
2351,順德
2356,英業達
2393,億光
2405,浩鑫
2431,聯昌
2439,美律
2489,瑞軒
2495,普安
2608,嘉里大榮
2611,志信
2911,麗嬰房
3017,奇鋐
3022,威強電
3031,佰鴻
3058,立德
3059,華晶科
3149,正達
3229,晟鈦
3376,新日興
3380,明泰
3437,榮創
3543,州巧
3583,辛耘
4148,全宇生技-KY
4438,廣越
4934,太極
5388,中磊
5515,建國
6108,競國
6176,瑞儀
6226,光鼎
6288,聯嘉
6477,安集
6698,旭暉應材
8028,昇陽半導體
8039,台虹
8261,富鼎
8429,金麗-KY
8499,鼎炫-KY
9910,豐泰
9955,佳龍
# DIF12-26 > 0
1215,卜蜂
1231,聯華食
1301,台塑
1305,華夏
1312,國喬
1326,台化
1409,新纖
1618,合機
1710,東聯
1731,美吾華
2015,豐興
2101,南港
2106,建大
2351,順德
2374,佳能
2481,強茂
2493,揚博
2636,台驊投控
2727,王品
2881A,富邦特
2882,國泰金
3005,神基
3026,禾伸堂
3033,威健
3189,景碩
3419,譁裕
3501,維熹
3504,揚明光
3528,安馳
3532,台勝科
3588,通嘉
4108,懷特
4439,冠星-KY
4572,駐龍
4739,康普
5434,崇越
6209,今國光
6541,泰福-KY
8103,瀚荃
8249,菱光
8271,宇瞻
9136,巨騰-DR
9902,台火
9941,裕融
