# DIF5-8 > 0
00677U	富邦VIX
1256	鮮活果汁-KY
2228	劍麟
2313	華通
2353	宏碁
2357	華碩
2360	致茂
2419	仲琦
3008	大立光
3015	全漢
3032	偉訓
3044	健鼎
3311	閎暉
3312	弘憶股
3530	晶相光
3694	海華
4576	大銀微系統
4935	茂林-KY
4977	眾達-KY
6191	精成科
6197	佳必琪
6230	超眾
6591	動力-KY
6672	騰輝電子-KY
8081	致新
8210	勤誠
9914	美利達
9925	新保
# DIF12-26 > 0
00703	台新MSCI中國
00753L	中信中國50正2
00783	富邦中証500
2357	華碩
2367	燿華
2376	技嘉
2458	義隆
2884	玉山金
3189	景碩
3583	辛耘
4137	麗豐-KY
4164	承業醫
4552	力達-KY
4999	鑫禾
5203	訊連
6288	聯嘉
