# DIF5-8 > 0
1339	昭輝
1598	岱宇
2323	中環
2412	中華電
2417	圓剛
2929	淘帝-KY
3045	台灣大
3682	亞太電
4935	茂林-KY
# DIF12-26 > 0
1108	幸福
1232	大統益
1234	黑松
1313	聯成
1314	中石化
1323	永裕
1342	八貫
1414	東和
1442	名軒
1447	力鵬
1513	中興電
1517	利奇
1531	高林股
1532	勤美
1589	永冠-KY
1605	華新
1608	華榮
1702	南僑
1711	永光
1722	台肥
1723	中碳
1725	元禎
1736	喬山
1773	勝一
1817	凱撒衛
2002	中鋼
2010	春源
2014	中鴻
2023	燁輝
2030	彰源
2032	新鋼
2034	允強
2105	正新
2108	南帝
2355	敬鵬
2356	英業達
2362	藍天
2363	矽統
2405	浩鑫
2420	新巨
2423	固緯
2436	偉詮電
2461	光群雷
2484	希華
2504	國產
2511	太子
2520	冠德
2606	裕民
2615	萬海
2705	六福
2723	美食-KY
2812	台中銀
2838A	聯邦銀甲特
2850	新產
2851	中再保
2880	華南金
2883	開發金
3048	益登
3050	鈺德
3060	銘異
3311	閎暉
3380	明泰
3535	晶彩科
3563	牧德
4141	龍燈-KY
4916	事欣科
4927	泰鼎-KY
5203	訊連
5534	長虹
5880	合庫金
6120	達運
6139	亞翔
6213	聯茂
6283	淳安
6285	啟碁
6505	台塑化
6674	鋐寶科技
8021	尖點
8131	福懋科
8163	達方
8210	勤誠
9905	大華
9935	慶豐富
9946	三發地產
