0.9966	1732	毛寶
0.9950	3051	力特
0.9788	1325	恆大
0.9775	8104	錸寶
0.9524	9919	康那香
0.9474	1418	東華
0.8845	1533	車王電
0.8827	2358	廷鑫
0.8706	2405	浩鑫
0.8643	2608	嘉里大榮
0.8373	4720	德淵
0.8327	2443	億麗
0.8298	6205	詮欣
0.8228	2497	怡利電
0.8095	6289	華上
0.7933	6288	聯嘉
0.7902	2305	全友
0.7643	3043	科風
0.7066	2614	東森
0.6849	6235	華孚
0.6765	2374	佳能
0.6607	1721	三晃
0.6419	2380	虹光
0.6000	2359	所羅門
0.5969	2438	翔耀
0.5964	2360	致茂
0.5926	1475	本盟
0.5912	2406	國碩
0.5887	2417	圓剛
0.5708	2457	飛宏
0.5452	3035	智原
0.5334	1512	瑞利
0.5014	2498	宏達電
0.5000	2323	中環
