0.9986	3051	力特
0.9969	2443	億麗
0.9788	8104	錸寶
0.9781	2405	浩鑫
0.9729	1325	恆大
0.9686	3043	科風
0.9536	2358	廷鑫
0.9337	1732	毛寶
0.9253	1533	車王電
0.9148	3094	聯傑
0.9119	6235	華孚
0.8977	1529	樂士
0.8719	2608	嘉里大榮
0.8664	2497	怡利電
0.8619	1512	瑞利
0.8584	2349	錸德
0.8329	4720	德淵
0.8289	2614	東森
0.8064	6205	詮欣
0.8003	6133	金橋
0.7917	2321	東訊
0.7907	2323	中環
0.7821	9919	康那香
0.7776	3041	揚智
0.7468	2305	全友
0.7423	6196	帆宣
0.7309	2417	圓剛
0.7170	6120	達運
0.7161	3035	智原
0.7083	1236	宏亞
0.6926	2380	虹光
0.6757	6288	聯嘉
0.6688	8028	昇陽半導體
0.6502	2351	順德
0.6282	2359	所羅門
0.6171	2440	太空梭
0.5742	2482	連宇
0.5699	6225	天瀚
0.5360	2498	宏達電
0.5339	2374	佳能
0.5154	2457	飛宏
