0.9998	2443	億麗
0.9972	3051	力特
0.9821	3043	科風
0.9588	1512	瑞利
0.9576	1325	恆大
0.9490	1529	樂士
0.9323	6235	華孚
0.8976	3041	揚智
0.8914	2405	浩鑫
0.8893	2358	廷鑫
0.8892	8104	錸寶
0.8722	6288	聯嘉
0.8402	1236	宏亞
0.8235	4720	德淵
0.8202	6133	金橋
0.7796	2497	怡利電
0.7739	2417	圓剛
0.7694	6120	達運
0.7577	3094	聯傑
0.7186	2374	佳能
0.7137	2614	東森
0.7109	2349	錸德
0.7079	3046	建碁
0.6963	2323	中環
0.6912	6205	詮欣
0.6376	2359	所羅門
0.6142	3055	蔚華科
0.6105	3035	智原
0.6078	6152	百一
0.5957	1418	東華
0.5883	2380	虹光
0.5846	1533	車王電
0.5797	2482	連宇
0.5779	6117	迎廣
0.5712	2321	東訊
0.5648	2305	全友
0.5233	6196	帆宣
