0.9921	2443	億麗
0.9811	6235	華孚
0.9768	3094	聯傑
0.9352	3035	智原
0.9230	1236	宏亞
0.9001	3043	科風
0.8929	3041	揚智
0.8854	1533	車王電
0.8757	2497	怡利電
0.8665	1732	毛寶
0.8573	3051	力特
0.8376	6205	詮欣
0.8245	1512	瑞利
0.8173	6120	達運
0.8004	4720	德淵
0.8003	2374	佳能
0.7690	2349	錸德
0.7686	6196	帆宣
0.7595	6117	迎廣
0.7512	1418	東華
0.7368	2417	圓剛
0.7252	9919	康那香
0.7161	2405	浩鑫
0.7157	2358	廷鑫
0.7067	8028	昇陽半導體
0.7011	6133	金橋
0.6817	2305	全友
0.6762	1529	樂士
0.6620	6164	華興
0.6479	6152	百一
0.6403	6289	華上
0.6228	1325	恆大
0.6192	3047	訊舟
0.6188	2614	東森
0.6133	2359	所羅門
0.5616	2438	翔耀
0.5073	2321	東訊
0.5046	2323	中環
